qc_section	project_id	project_code	metric	value
per_project	TCGA-SKCM	SKCM	missingness_ploidy	0.0213675213675214
per_project	TCGA-SKCM	SKCM	missingness_aneuploidy_score	0.0213675213675214
per_project	TCGA-SKCM	SKCM	missingness_fraction_genome_altered	1
per_project	TCGA-SKCM	SKCM	missingness_arm_gain_count	0.0213675213675214
per_project	TCGA-SKCM	SKCM	missingness_arm_loss_count	0.0213675213675214
per_project	TCGA-SKCM	SKCM	missingness_total_arm_alteration_count	0.0213675213675214
per_project	TCGA-STAD	STAD	n_samples	439
per_project	TCGA-STAD	STAD	median_purity	0.52
per_project	TCGA-STAD	STAD	median_ploidy	2.15
per_project	TCGA-STAD	STAD	median_aneuploidy_score	10
per_project	TCGA-STAD	STAD	median_fraction_genome_altered	NA
per_project	TCGA-STAD	STAD	missingness_purity	0.041002277904328
per_project	TCGA-STAD	STAD	missingness_ploidy	0.041002277904328
per_project	TCGA-STAD	STAD	missingness_aneuploidy_score	0.0364464692482916
per_project	TCGA-STAD	STAD	missingness_fraction_genome_altered	1
per_project	TCGA-STAD	STAD	missingness_arm_gain_count	0.0364464692482916
per_project	TCGA-STAD	STAD	missingness_arm_loss_count	0.0364464692482916
per_project	TCGA-STAD	STAD	missingness_total_arm_alteration_count	0.0364464692482916
per_project	TCGA-TGCT	TGCT	n_samples	151
per_project	TCGA-TGCT	TGCT	median_purity	0.6
per_project	TCGA-TGCT	TGCT	median_ploidy	2.855
per_project	TCGA-TGCT	TGCT	median_aneuploidy_score	19
per_project	TCGA-TGCT	TGCT	median_fraction_genome_altered	NA
per_project	TCGA-TGCT	TGCT	missingness_purity	0.00662251655629139
per_project	TCGA-TGCT	TGCT	missingness_ploidy	0.00662251655629139
per_project	TCGA-TGCT	TGCT	missingness_aneuploidy_score	0.00662251655629139
per_project	TCGA-TGCT	TGCT	missingness_fraction_genome_altered	1
per_project	TCGA-TGCT	TGCT	missingness_arm_gain_count	0.00662251655629139
per_project	TCGA-TGCT	TGCT	missingness_arm_loss_count	0.00662251655629139
per_project	TCGA-TGCT	TGCT	missingness_total_arm_alteration_count	0.00662251655629139
per_project	TCGA-THCA	THCA	n_samples	500
per_project	TCGA-THCA	THCA	median_purity	0.67
per_project	TCGA-THCA	THCA	median_ploidy	2
per_project	TCGA-THCA	THCA	median_aneuploidy_score	0
per_project	TCGA-THCA	THCA	median_fraction_genome_altered	NA
per_project	TCGA-THCA	THCA	missingness_purity	0.094
per_project	TCGA-THCA	THCA	missingness_ploidy	0.094
per_project	TCGA-THCA	THCA	missingness_aneuploidy_score	0.07
per_project	TCGA-THCA	THCA	missingness_fraction_genome_altered	1
per_project	TCGA-THCA	THCA	missingness_arm_gain_count	0.07
per_project	TCGA-THCA	THCA	missingness_arm_loss_count	0.07
per_project	TCGA-THCA	THCA	missingness_total_arm_alteration_count	0.07
per_project	TCGA-THYM	THYM	n_samples	123
per_project	TCGA-THYM	THYM	median_purity	0.39
per_project	TCGA-THYM	THYM	median_ploidy	2
per_project	TCGA-THYM	THYM	median_aneuploidy_score	0
