sample_barcode	patient_barcode	project_id	project_code	selected_gdc_file_id	selected_file_name	selected_data_type	match_level	file_size	n_candidate_files	selection_reason	selection_rank	notes
TCGA-AG-A026-01A	TCGA-AG-A026	TCGA-READ	READ	942fecf2-0044-4074-b2e0-6df5722716f6	EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	16815	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	tie_resolved_by_file_size_or_file_id
TCGA-AG-A02N-01A	TCGA-AG-A02N	TCGA-READ	READ	6253ab71-a504-4a31-9f43-69314524edf7	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G10_730326.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	9768	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-DY-A1DG-01A	TCGA-DY-A1DG	TCGA-READ	READ	db794c58-857d-4b3c-a18f-3eecd9ac7230	USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	18282	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-EI-6507-01A	TCGA-EI-6507	TCGA-READ	READ	4cfd815b-f881-415f-b644-c7cb8cf6ea25	FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	6868	3	sample_level_match;Masked Copy Number Segment;local_parse_check_passed;lightweight_parse_rows=97	1	best_ranked_file_selected
TCGA-EI-6882-01A	TCGA-EI-6882	TCGA-READ	READ	aec14356-f8ad-4eed-9c5f-2c0b7e54e6e7	SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	17994	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-EI-6917-01A	TCGA-EI-6917	TCGA-READ	READ	ba9b21e0-50f6-4635-aa79-82096e6c3607	SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	14452	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-F5-6814-01A	TCGA-F5-6814	TCGA-READ	READ	efac8ab3-b5bd-4cd9-9acf-8bffa82d5706	SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	31096	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-3B-A9HT-01A	TCGA-3B-A9HT	TCGA-SARC	SARC	9df4e5d0-ab33-42b3-abea-3ffc61278b6a	PRION_p_TCGAb_410_11_12_13_NSP_GenomeWideSNP_6_F05_1486638.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	9751	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-DX-A6YS-01A	TCGA-DX-A6YS	TCGA-SARC	SARC	2f8b4e80-0e0f-47a8-9fb1-338e56c99111	TAZZA_p_TCGAb3_62_63_64_65_NSP_GenomeWideSNP_6_D03_1387900.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	73163	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-DX-A6YT-01A	TCGA-DX-A6YT	TCGA-SARC	SARC	6503e025-8ba8-4edc-a736-c5bcb69fbdcc	TAZZA_p_TCGAb3_62_63_64_65_NSP_GenomeWideSNP_6_C10_1387936.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	39444	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
